jw_entity_id,title,type,release_year,poster
ts28221,Robotech,show,1985.0,/poster/260247952/{profile}
ts199,Black Lagoon,show,2006.0,/poster/300561407/{profile}
ts25674,Serial Experiments Lain,show,1998.0,/poster/177246788/{profile}
ts20388,Psycho-Pass,show,2012.0,/poster/139158745/{profile}
ts27309,Paranoia Agent,show,2004.0,/poster/245190109/{profile}
ts28010,High School DxD,show,2012.0,/poster/249385966/{profile}
ts12787,Code Geass: Lelouch of the Rebellion,show,2006.0,/poster/84776886/{profile}
ts22056,TRIGUN,show,1998.0,/poster/11606314/{profile}
ts22113,Initial D,show,1998.0,/poster/290769716/{profile}
ts19528,Ergo Proxy,show,2006.0,/poster/282678162/{profile}
ts22595,Speed Racer,show,1967.0,/poster/258430762/{profile}
ts21983,Death Parade,show,2015.0,/poster/245292992/{profile}
ts29930,Panty & Stocking with Garterbelt,show,2010.0,/poster/175548398/{profile}
ts20738,Ranma ½,show,1989.0,/poster/266471183/{profile}
ts29613,The Tatami Galaxy,show,2010.0,/poster/157298990/{profile}
ts34370,Higurashi: When They Cry,show,2006.0,/poster/216564292/{profile}
ts25497,Outlaw Star,show,1998.0,/poster/247575765/{profile}
ts6055,Claymore,show,2007.0,/poster/253935693/{profile}
ts57405,Record of Lodoss War,show,1990.0,/poster/243141820/{profile}
ts30077,Durarara!!,show,2010.0,/poster/175544861/{profile}
ts27269,The Vision of Escaflowne,show,1996.0,/poster/196986283/{profile}
ts21740,Black Butler,show,2008.0,/poster/30228560/{profile}
ts29428,Welcome to the N.H.K.,show,2006.0,/poster/248498186/{profile}
ts58289,Mobile Suit Zeta Gundam,show,1985.0,/poster/179901126/{profile}
ts23030,Space Dandy,show,2014.0,/poster/130946136/{profile}
ts25863,Soul Eater,show,2008.0,/poster/210042620/{profile}
ts44983,Prison School,show,2015.0,/poster/282543034/{profile}
ts21676,Hellsing,show,2001.0,/poster/30316939/{profile}
ts41906,The Disastrous Life of Saiki K.,show,2016.0,/poster/244268368/{profile}
ts33350,Star Blazers [Space Battleship Yamato] 2199,show,2013.0,/poster/139167663/{profile}
ts287384,Sonny Boy,show,2021.0,/poster/255774289/{profile}
ts285135,Mieruko-chan,show,2021.0,/poster/256845755/{profile}
ts23060,Ping Pong the Animation,show,2014.0,/poster/238672218/{profile}
ts286788,LINK CLICK,show,2021.0,/poster/245306800/{profile}
ts20686,Terror in Resonance,show,2014.0,/poster/256334839/{profile}
ts3805,Afro Samurai,show,2007.0,/poster/176996737/{profile}
ts25846,Spice and Wolf,show,2008.0,/poster/253935702/{profile}
ts82130,How Not to Summon a Demon Lord,show,2018.0,/poster/246726481/{profile}
ts59417,Desert Punk,show,2004.0,/poster/168300457/{profile}
ts7449,D.Gray-man,show,2006.0,/poster/256745138/{profile}
ts36581,Wolf's Rain,show,2003.0,/poster/245257013/{profile}
ts16814,.hack,show,2002.0,/poster/192208440/{profile}
ts33423,Gungrave,show,2003.0,/poster/244700032/{profile}
ts23055,Knights of Sidonia,show,2014.0,/poster/172447110/{profile}
ts18066,Blood-C,show,2011.0,/poster/160608495/{profile}
ts32712,Deadman Wonderland,show,2011.0,/poster/185467902/{profile}
ts3506,Astro Boy,show,1963.0,/poster/246856806/{profile}
ts4325,Freezing,show,2011.0,/poster/158947306/{profile}
ts35525,Kamisama Kiss,show,2012.0,/poster/123558861/{profile}
ts28832,Slayers,show,1995.0,/poster/244619752/{profile}
ts250982,My Senpai Is Annoying,show,2021.0,/poster/272299274/{profile}
ts35198,Seraph of the End,show,2015.0,/poster/10369330/{profile}
ts27099,Guyver: The Bioboosted Armor,show,2005.0,/poster/241957077/{profile}
ts12978,Space Cobra,show,1982.0,/poster/70914406/{profile}
ts30288,Mobile Suit Gundam Unicorn,show,2010.0,/poster/86842768/{profile}
ts23180,The Sacred Blacksmith,show,2009.0,/poster/249264667/{profile}
ts959,Basilisk,show,2005.0,/poster/175639011/{profile}
ts33824,Maken-Ki! Battling Venus,show,2011.0,/poster/80579634/{profile}
ts10558,Eureka Seven,show,2005.0,/poster/169284517/{profile}
ts33615,Silver Spoon,show,2013.0,/poster/58440475/{profile}
ts31694,Ikkitousen,show,2003.0,/poster/241114523/{profile}
ts31181,Fruits Basket - 2001,show,2001.0,/poster/155050012/{profile}
ts39653,Texhnolyze,show,2003.0,/poster/156684225/{profile}
ts44040,Barakamon,show,2014.0,/poster/198709572/{profile}
ts43986,Kingdom,show,2012.0,/poster/253937801/{profile}
ts24021,Haibane Renmei,show,2002.0,/poster/245254535/{profile}
ts45699,Trinity Blood,show,2005.0,/poster/175159958/{profile}
ts3397,Chobits,show,2002.0,/poster/178580130/{profile}
ts43942,Samurai 7,show,2004.0,/poster/135740293/{profile}
ts15981,Cat Planet Cuties,show,2010.0,/poster/171203089/{profile}
ts36567,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,show,2015.0,/poster/169259791/{profile}
ts296477,Sasaki and Miyano,show,2022.0,/poster/267170002/{profile}
ts30192,Princess Jellyfish,show,2010.0,/poster/251574720/{profile}
ts16683,Haganai: I Don't Have Many Friends,show,2011.0,/poster/176680304/{profile}
ts26495,Guilty Crown,show,2011.0,/poster/261030629/{profile}
ts19257,Bubblegum Crisis Tokyo 2040,show,1998.0,/poster/223162184/{profile}
ts26043,ItaKiss,show,2008.0,/poster/16868757/{profile}
ts46132,Kimba the White Lion,show,1966.0,/poster/267064334/{profile}
ts25996,Magic Knight Rayearth,show,1994.0,/poster/258454788/{profile}
ts256764,Heaven Official's Blessing,show,2020.0,/poster/288947077/{profile}
ts5679,Beck: Mongolian Chop Squad,show,2004.0,/poster/184924520/{profile}
ts33143,Shigurui: Death Frenzy,show,2007.0,/poster/93096348/{profile}
ts36080,Charlotte,show,2015.0,/poster/142154668/{profile}
ts29465,Witchblade,show,2006.0,/poster/242706019/{profile}
ts23733,Heaven's Lost Property,show,2009.0,/poster/253937868/{profile}
ts34029,Lucky Star,show,2007.0,/poster/167668606/{profile}
ts56235,Tsugumomo,show,2017.0,/poster/153679225/{profile}
ts26045,Rin: Daughters of Mnemosyne,show,2008.0,/poster/241690895/{profile}
ts216696,No Guns Life,show,2019.0,/poster/286307616/{profile}
ts17714,Devil May Cry,show,2007.0,/poster/259597509/{profile}
ts9527,Eden of the East,show,2009.0,/poster/174674996/{profile}
ts42080,Grimgar of Fantasy and Ash,show,2016.0,/poster/253937514/{profile}
ts23387,Witch Hunter Robin,show,2002.0,/poster/177247263/{profile}
ts25499,Ah! My Goddess,show,2005.0,/poster/245158414/{profile}
ts43388,Gangsta.,show,2015.0,/poster/142042002/{profile}
ts41274,Endride,show,2016.0,/poster/141895877/{profile}
ts9062,Bokurano,show,2007.0,/poster/292643648/{profile}
ts34463,Gunslinger Girl,show,2003.0,/poster/29860284/{profile}
ts58259,Lord Marksman and Vanadis,show,2014.0,/poster/253938127/{profile}
ts307653,The Heike Story,show,2022.0,/poster/251233864/{profile}
ts89553,Astra Lost in Space,show,2019.0,/poster/136524142/{profile}
ts56258,Seven Mortal Sins,show,2017.0,/poster/9376818/{profile}
ts22452,Baka and Test: Summon the Beasts,show,2010.0,/poster/193498759/{profile}
ts28817,Utawarerumono,show,2006.0,/poster/293931958/{profile}
ts20421,Aesthetica of a Rogue Hero,show,2012.0,/poster/137069169/{profile}
ts87376,Kono Oto Tomare!: Sounds of Life,show,2019.0,/poster/260840380/{profile}
ts268573,"Banished From the Hero's Party, I Decided to Live a Quiet Life in the Countryside",show,2021.0,/poster/251915638/{profile}
ts32517,Tokyo Majin Gakuen Kenpucho,show,2007.0,/poster/139205227/{profile}
ts43282,Valkyrie Drive: Mermaid,show,2015.0,/poster/195740412/{profile}
ts39508,Girls Bravo,show,2004.0,/poster/147935904/{profile}
ts236536,How a Realist Hero Rebuilt the Kingdom,show,2021.0,/poster/249754761/{profile}
ts31640,School Rumble,show,2004.0,/poster/180107557/{profile}
ts3462,Air Gear,show,2006.0,/poster/138744289/{profile}
ts250910,The Dungeon of Black Company,show,2021.0,/poster/298559184/{profile}
ts88721,Special,show,2019.0,/poster/144332780/{profile}
ts217604,Kemono Michi: Rise Up,show,2019.0,/poster/171329677/{profile}
ts34258,Is This a Zombie?,show,2011.0,/poster/175001634/{profile}
ts42254,Servamp,show,2016.0,/poster/253938811/{profile}
ts7046,Yamada's First Time: B Gata H Kei,show,2010.0,/poster/155977334/{profile}
ts13543,Excel Saga,show,1999.0,/poster/155679013/{profile}
ts286385,Love Live! Superstar!!,show,2021.0,/poster/248101549/{profile}
ts269935,Taisho Otome Fairy Tale,show,2021.0,/poster/251937454/{profile}
ts35356,The Heroic Legend of Arslan,show,2015.0,/poster/289744174/{profile}
ts29475,xxxHOLiC,show,2006.0,/poster/138692042/{profile}
ts34545,Stigma of the Wind,show,2007.0,/poster/176764294/{profile}
ts35515,OniAi,show,2012.0,/poster/192313311/{profile}
ts16839,Casshern Sins,show,2008.0,/poster/30346305/{profile}
ts12414,Code:Breaker,show,2012.0,/poster/15706849/{profile}
ts31637,Last Exile,show,2003.0,/poster/219384329/{profile}
ts52883,D-Frag!,show,2014.0,/poster/253935966/{profile}
ts236268,Talentless Nana,show,2020.0,/poster/244250528/{profile}
ts23127,Mekakucity Actors,show,2014.0,/poster/139222502/{profile}
ts5374,Aria the Scarlet Ammo,show,2011.0,/poster/170494996/{profile}
ts235826,Idoly Pride,show,2021.0,/poster/241035740/{profile}
ts53982,Unbreakable Machine-Doll,show,2013.0,/poster/189709153/{profile}
ts31227,Noir,show,2001.0,/poster/169261275/{profile}
ts272266,The Genius Prince's Guide to Raising a Nation Out of Debt,show,2022.0,/poster/258646589/{profile}
ts26244,Peach Girl,show,2005.0,/poster/187275613/{profile}
ts23048,Soul Eater Not!,show,2014.0,/poster/135709875/{profile}
ts44388,Karneval,show,2013.0,/poster/139170150/{profile}
ts222964,Arte,show,2020.0,/poster/253935497/{profile}
ts6804,Ai Yori Aoshi,show,2002.0,/poster/249207464/{profile}
ts221931,Appare-Ranman!,show,2020.0,/poster/253940297/{profile}
ts21896,Maria the Virgin Witch,show,2015.0,/poster/242357307/{profile}
ts32172,Love Live! School Idol Project,show,2013.0,/poster/292798698/{profile}
ts29087,The Wallflower,show,2006.0,/poster/17374929/{profile}
ts78482,コードギアス 亡国のアキト,show,2012.0,/poster/56950911/{profile}
ts35071,Gosick,show,2011.0,/poster/253935835/{profile}
ts285054,Irina: The Vampire Cosmonaut,show,2021.0,/poster/252714148/{profile}
ts28505,Ghost Hunt,show,2006.0,/poster/267478913/{profile}
ts38413,Shomin Sample,show,2015.0,/poster/242705982/{profile}
ts27027,Jormungand,show,2012.0,/poster/278507141/{profile}
ts20273,Gonna be the Twin-Tail!!,show,2014.0,/poster/242706168/{profile}
ts282865,RE-MAIN,show,2021.0,/poster/246791323/{profile}
ts44786,Ground Control to Psychoelectric Girl,show,2011.0,/poster/139177434/{profile}
ts283070,Sabikui Bisco,show,2022.0,/poster/258643958/{profile}
ts89574,"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She's a Cutie?",show,2019.0,/poster/151890976/{profile}
ts23519,Hetalia,show,2009.0,/poster/184997668/{profile}
ts39096,Inari Kon Kon,show,2014.0,/poster/35371632/{profile}
ts219055,Stars Align,show,2019.0,/poster/164991130/{profile}
